building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active,mailer_building_number,mailer_street,mailer_street_type,mailer_city,mailer_state,mailer_zip_code,*location_quality_Grade(Numeric),*premise_quality-grade(Numeric),listing_brokerage,listing_broker_name,listing_broker_email,listing_broker_number,tenant_contact_name,tenant_contact_phone_number,tenant_contact_email,tenant_contact_address,owner_contact_name,owner_contact_phone_number,owner_contact_email,owner_contact_address,unique_id_addedem,unique_id_complete,corridor,lattitude,longitude,venting,previous_tenant,notes
55 Leroy Street B,Better being Undeground,Occupied,Unavailable,Restaurant & Bar,Take-out,Regional Presence,$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,500,0,0,,1,,500,,Standard,Yes,West Village,2,500,10014,982810,205349,Existing,1,Manhattan,1-583-42,583,42,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,2,1-583-42-2,,,,,,
35 Carmine Street A,P.S Burger,Occupied,Unavailable,Restaurant & Bar,Restaurant,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,562.5,0,0,,1,5,562.5,112.5,Standard,Yes,West Village,2,562.5,10014,983310,205340,Existing,1,Manhattan,1-586-35,586,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-586-35-1,,,,,,
35 Carmine Street B,House of Oldies Rare Records,Occupied,Unavailable,"Toys, Hobbies",Hobbies,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,562.5,0,0,,1,5,562.5,112.5,Standard,Yes,West Village,2,562.5,10014,983310,205340,Existing,1,Manhattan,1-586-35,586,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,2,1-586-35-2,,,,,,
72 Bedford Street A,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,1- Low End,3,Average,No,45 ,Street Frontage,0,607.5,0,0,,1,6,607.5,101.25,Standard,Yes,West Village,2,607.5,10014,982939,205776,Existing,1,Manhattan,1-587-7,587,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-587-7-1,,,,,,
86 Bedford Street,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,1560,0,0,,1,2,1560,780,Standard,Yes,West Village,1,1560,10014,982849,205997,Existing,1,Manhattan,1-588-3,588,3,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-588-3-1,,,,,,
110 Christopher Street ,Roedean,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,2000,0,0,Step down,1,,2000,,Standard,Yes,West Village,1,2000,10014,982855,206357,Existing,1,Manhattan,1-588-51,588,51,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-588-51-1,,,,,,
45 Grove Street A,45 Grove Street Laundromat,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,1036,0,0,Step down,1,15,1036,69.0666666666667,Standard,Yes,West Village,2,1036,10014,983051,206329,Existing,1,Manhattan,1-588-67,588,67,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-588-67-1,,,,,,
331 6 Avenue,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,2332,0,0,,1,27,2332,86.3703703703704,Standard,Yes,West Village,1,2332,10014,983826,205757,Existing,1,Manhattan,1-589-28,589,28,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-589-28-1,,,,,,
3 Jones Street,Record Runner,Occupied,Unavailable,Electronics,Music and Movies,Local Chain / Independant,$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,645,0,0,Step up,1,10,645,64.5,Standard,Yes,West Village,2,645,10014,983679,206112,Existing,1,Manhattan,1-590-75,590,75,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-590-75-1,,,,,,
357 West Street,Vacant,Vacant,Available,,,,,,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,960,0,0,,1,15,960,64,Standard,Yes,West Village,1,960,10014,981453,205281,Existing,1,Manhattan,1-601-4,601,4,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-601-4-1,,,,,,
487 Hudson Street,St. Luke's Thrift Shop,Occupied,Unavailable,Apparel,Clothing,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,1440,0,0,0,Step down,1,,1440,,Standard,Yes,West Village,1,1440,10014,982323,206205,Existing,1,Manhattan,1-605-31,605,31,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-605-31-1,,,,,,
177 Waverly Place,Bernardo's Hair Salon,Occupied,Unavailable,Personal Services,"Hair Studio, Barber",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,500,0,0,0,Step down,1,,500,,Standard,Yes,West Village,1,500,10014,983952,206751,Existing,1,Manhattan,1-610-41,610,41,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-610-41-1,,,,,,
130 West 10 Street,Abingdon Vet,Occupied,Unavailable,"Building, Garden, Animal",Pet Related,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,1232,0,0,0,,1,,1232,,Standard,Yes,West Village,1,1232,10014,984165,206879,Existing,1,Manhattan,1-610-52,610,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-610-52-1,,,,,,
11 Greenwich Street C,Hector's Shoe Repair,Occupied,Unavailable,Apparel,Shoes,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,10 ,Street Frontage,0,745,0,0,,1,10,745,74.5,Standard,Yes,West Village,5,745,10014,984246,206770,Existing,1,Manhattan,1-610-60,610,60,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-610-60-1,,,,,,
13 Christopher Street B ,The Porcelain Room,Occupied,Unavailable,Household Goods,Kitchen & Party Supplies,Local Chain / Independant,$$$,North American,,,2 - Average,1- Low End,3,Average,No,25 ,Street Frontage,825,0,0,0,,1,15,825,55,Standard,Yes,West Village,4,825,10014,984099,206743,Existing,1,Manhattan,1-610-66,610,66,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-610-66-1,,,,,,
15 Christopher Street B,Day Spa,Occupied,Unavailable,Personal Services,Spa,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,25 ,Street Frontage,825,0,0,0,,1,15,825,55,Standard,Yes,West Village,4,825,10014,984099,206743,Existing,1,Manhattan,1-610-66,610,66,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,2,1-610-66-2,,,,,,
182 7 Avenue South,Pat Crystal Shop,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$,South American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,35,0,0,,1,18,35,1.94444444444444,Standard,Yes,West Village,1,35,10014,983812,207456,Existing,1,Manhattan,1-613-66,613,66,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-613-66-1,,,,,,
3 Horatio Street,Village Digital,Occupied,Unavailable,"Office Supplies, Postal Supplies, and Services",Office Supplies,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,75 ,Street Frontage,0,450,0,0,Step down,1,15,450,30,Standard,Yes,West Village,2,450,10014,983230,208481,Existing,1,Manhattan,1-616-52,616,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-616-52-1,,,,,,
159 Christopher Street,Golden Woks,Occupied,Unavailable,Restaurant & Bar,Take-out,Local Chain / Independant,$$,Asian,,,2 - Average,1- Low End,3,Average,No,40 ,Street Frontage,0,720,0,0,,1,25,720,28.8,Standard,Yes,West Village,2,720,10014,981931,206271,Existing,1,Manhattan,1-630-1,630,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-630-1-1,,,,,,
157 Christopher,Gourmet 157,Occupied,Unavailable,Grocery,"Deli, Convenience Store",Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,500,0,0,Step up,1,10,500,50,Standard,Yes,West Village,1,500,10014,981975,206303,Existing,1,Manhattan,1-630-29,630,29,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-630-29-1,,,,,,
655 Washington Street,Heiberg & Cummings,Occupied,Unavailable,Household Goods,Home Decor,International Presence,$$$,European,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,816,0,0,,1,10,816,81.6,Low,Yes,West Village,1,816,10014,981933,206330,Existing,1,Manhattan,1-630-4,630,4,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-630-4-1,,,,,,
501 Hudson Street A,Hudson Flower Shop,Occupied,Unavailable,"Building, Garden, Animal",Garden Center/Florist,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,20 ,Street Frontage,0,555,0,0,,1,15,555,37,Standard,Yes,West Village,6,555,10014,982397,206379,Existing,1,Manhattan,1-630-48,630,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-630-48-1,,,,,,
501 Christopher Street E,Photo Booth,Occupied,Unavailable,Other Services,Other Services,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,5 ,Street Frontage,0,138.75,0,0,,1,2,138.75,69.375,Standard,Yes,West Village,6,138.75,10014,982397,206379,Existing,1,Manhattan,1-630-48,630,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,2,1-630-48-2,,,,,,
708 Greenwich Street,Garber's Hardware ,Occupied,Unavailable,"Building, Garden, Animal",Hardware,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,4620,0,0,Step up,1,30,4620,154,Standard,Yes,West Village,1,4620,10014,982154,206650,Existing,1,Manhattan,1-631-7501,631,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-631-7501-1,,,,,,
139 Charles Street,Hudson Urban Bicycles ,Occupied,Unavailable,Sporting Goods,Bikes,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,2580,0,0,,1,100,2580,25.8,Standard,Yes,West Village,1,2580,10014,982019,206801,Existing,1,Manhattan,1-632-34,632,34,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-632-34-1,,,,,,
541 Hudson,Hudson RIver Flowers ,Occupied,Unavailable,"Building, Garden, Animal",Garden Center/Florist,Local Chain / Independant,$$,North American,,,2 - Average,1- Low End,3,Average,No,100 ,Street Frontage,0,779,0,0,,1,10,779,77.9,Standard,Yes,West Village,1,779,10014,982473,206975,Existing,1,Manhattan,1-632-52,632,52,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,TRUE,,,,,,,2,1,,,,,,,,,,,,,1,1-632-52-1,,,,,,
