building_address,tenant_name,occupancy_status,availability_status,retail_type,retail_sub_type,retailer_footprint,retail_price_point,retailer_heritage,retailer_value,retailer_occurence,location_quality,premise_quality,quality_ranking,class_mix,corner_store,percent_of_bldg_retail,premise_type,basement_sf,ground_fl_sf,mezzazine,upper_fl_sf,step_up_or_down,number_of_retail_stories,street_frontage,approx_retail_sf,street_frontage_ratio,ceiling,contains_retail,submarket,total_number_of_retail_space,total_retail_space,zip_code,xcord,ycord,building_status,borocode,borough,bbl,block,lot,frequency_of_demand,location_appearance,walkability_score,viability_score,demographic,zip_code_from,zip_code_to,submarket_health_index,gentrifcation_score,footfall_index,block_appeal,target_shopper_profile,stability_index,growth_index,retailer_viability,venting,social_media,total_bldg_front,active
323 Lafayette ,the ups store,Occupied,Unavailable,"Office Supplies, Postal Supplies, and Services",Postal Supplies and Services,National Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,550 ,Street Frontage,0,29,0,0,None,1,25,29,1.16,Standard,Yes,East Village,2,1850,10012,985658,203521,Existing,1,Manhattan,1-522-41,522,41,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
317 Lafayette ,s. k. u,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,250,0,0,None,1,35,250,7.14285714285714,Standard,Yes,East Village,3,1000,10012,985642,203487,Existing,1,Manhattan,1-522-43,522,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
317 Lafayette Street ,The UPS Store ,Occupied,Unavailable,"Office Supplies, Postal Supplies, and Services",Postal Supplies and Services,International Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,250,0,0,None,1,20,250,12.5,Standard,Yes,East Village,3,1000,10012,985642,203487,Existing,1,Manhattan,1-522-43,522,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
315 Lafayatte Street ,Bank Of America ,Occupied,Unavailable,Bank,Bank,International Chain,$$,North American,,,2 - Average,3 - High Quality,5,Good,No,50 ,Street Frontage,0,500,0,0,None,1,40,500,12.5,Standard,Yes,East Village,3,1000,10012,985642,203487,Existing,1,Manhattan,1-522-43,522,43,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
622 Broadway ,Best Buy ,Occupied,Unavailable,Electronics,Electronics Department Store,National Chain,$$,North American,,,3 - High Quality,2 - Average,5,Good,No,100 ,Street Frontage,0,34300,0,0,None,1,100,29800,298,High,Yes,East Village,2,34300,10012,985384,203694,Existing,1,Manhattan,1-522-5,522,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
626 Broadway,Journey's,Occupied,Unavailable,Apparel,Clothing,National Chain,$$,North American,,,3 - High Quality,2 - Average,5,Good,No,,Street Frontage,2000,2500,0,0,None,,,4500,?,Standard,Yes,East Village,2,34300,10012,985384,203694,Existing,1,Manhattan,1-522-5,522,5,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
332 Lafayette Street,Temple Bar,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,3657,0,0,None,1,25,3657,146.28,Standard,Yes,East Village,2,7314,10012,985641,203718,Existing,1,Manhattan,1-522-7501,522,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
330 Lafayette Street,The Noho Star,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,50 ,Street Frontage,0,3657,0,0,None,1,60,3657,60.95,Standard,Yes,East Village,2,7314,10012,985641,203718,Existing,1,Manhattan,1-522-7501,522,7501,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
212 Mercer Street,Cleaners ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,20 ,Street Frontage,0,2000,0,0,None,1,50,2000,40,High,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
210 Mercer Street,NoHo Juice Bar,Occupied,Unavailable,Restaurant & Bar,Cafe,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,10 ,Street Frontage,0,1000,0,0,None,1,40,1000,25,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
208 Mercer Street,Brown Bag Laundry ,Occupied,Unavailable,"Laundry, Dry Cleaning","Laundry, Dry Cleaning","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,2500,0,0,None,1,45,2500,55.5555555555556,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
206 Mercer Street,Mercer Street Books ,Occupied,Unavailable,Books,Book Stores,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,5 ,Street Frontage,0,500,0,0,None,1,20,500,25,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
637 Broadway ,Badicihi ,Occupied,Unavailable,Apparel,Clothing,"Independent local, Local Chain",$$,European,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,2500,0,0,None,1,45,2500,55.5555555555556,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
637 Broadway ,Vacant,Vacant,Unavailable,,,,,,,,2 - Average,2 - Average,4,Average,No,5 ,Street Frontage,0,500,0,0,None,1,25,500,20,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
639 Broadway ,Smoke Shop ,Occupied,Unavailable,Grocery,"Deli, Convenience Store","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,5 ,Street Frontage,0,500,0,0,None,1,25,500,20,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
641 Broadway ,Infinity Haircut ,Occupied,Unavailable,Personal Services,"Hair Studio, Barber","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,5 ,Street Frontage,0,500,0,0,None,1,25,500,20,Standard,Yes,NoHo,8,10000,10012,985246,203991,Existing,1,Manhattan,1-523-38,523,38,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
18 West Houston Street,Angelika Film Center,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,Yes,50 ,Street Frontage,0,18749,0,0,Step up,2,150,18749,124.993333333333,High,Yes,NoHo,2,37499,10012,985085,203738,Existing,1,Manhattan,1-523-48,523,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
611 Broadway ,Crate & Barrel,Occupied,Unavailable,Household Goods,Home Decor,National Chain,$$,North American,,,3 - High Quality,3 - High Quality,6,Prime,Yes,50 ,Street Frontage,0,18749,0,0,None,1,150,18749,124.993333333333,High,Yes,NoHo,2,37499,10012,985085,203738,Existing,1,Manhattan,1-523-48,523,48,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
171 Sullivan Street,Rockin Raw,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,South American,Organic,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,372.5,0,0,None,1,10,372.5,37.25,Standard,Yes,NoHo,2,745,10012,984019,204491,Existing,1,Manhattan,1-525-1,525,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
171 Sullivan Street ,Chun Hong Tui Na Back Foot Rub,Occupied,Unavailable,Personal Services,Spa,"Independent local, Local Chain",$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,372.5,0,0,Step up,1,10,372.5,37.25,Standard,Yes,NoHo,2,745,10012,984019,204491,Existing,1,Manhattan,1-525-1,525,1,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
169 Thompson Street B,Nie Joy Service Center ,Occupied,Unavailable,Personal Services,Spa,"Independent local, Local Chain",$,Asian,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,320,0,0,None,1,15,320,21.3333333333333,Standard,Yes,NoHo,2,640,10012,984124,204388,Existing,1,Manhattan,1-525-24,525,24,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
169 Thompson Street A,ZZ's Clam Bar ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,320,0,0,None,1,15,320,21.3333333333333,Standard,Yes,NoHo,2,640,10012,984124,204388,Existing,1,Manhattan,1-525-24,525,24,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
110 West Houston B,A&R News & Candy,Occupied,Unavailable,Grocery,"Deli, Convenience Store","Independent local, Local Chain",$$,North American,,,2 - Average,1- Low End,3,Average,No,50 ,Street Frontage,0,360,0,0,None,1,10,360,36,Standard,Yes,NoHo,2,720,10012,984083,204374,Existing,1,Manhattan,1-525-26,525,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
110 West Houston A,Psychic ,Occupied,Unavailable,Other Services,Other Services,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,360,0,0,None,1,10,360,36,Standard,Yes,NoHo,2,720,10012,984083,204374,Existing,1,Manhattan,1-525-26,525,26,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
128 West Houston B,Rogue & Canon,Occupied,Unavailable,Restaurant & Bar,"Bar, Lounge, Club","Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,Yes,75 ,Street Frontage,0,1800,0,0,None,1,35,1800,51.4285714285714,Standard,Yes,NoHo,2,2400,10012,983953,204458,Existing,1,Manhattan,1-525-32,525,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
169 Sullivan Street,Sullivan Bistro ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$,European,,,2 - Average,2 - Average,4,Average,No,25 ,Street Frontage,0,600,0,0,None,1,15,600,40,Standard,Yes,NoHo,2,2400,10012,983953,204458,Existing,1,Manhattan,1-525-32,525,32,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
172 Thompson Street,Tomoe Sushi ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$,Asian,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,967.5,0,0,None,1,20,967.5,48.375,Standard,Yes,NoHo,2,1935,10012,984235,204363,Existing,1,Manhattan,1-525-35,525,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
170 Thompson Street ,Lupa Osteria Romana ,Occupied,Unavailable,Restaurant & Bar,Restaurant,"Independent local, Local Chain",$$$$,European,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,967.5,0,0,None,1,20,967.5,48.375,Standard,Yes,NoHo,2,1935,10012,984235,204363,Existing,1,Manhattan,1-525-35,525,35,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
144 Bleecker Street A,Duane Reade ,Occupied,Unavailable,Health and Personal Care,Drugstore,Regional Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,5315,0,0,None,1,20,5315,265.75,Standard,Yes,NoHo,2,10630,10012,984417,204503,Existing,1,Manhattan,1-525-46,525,46,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
144 Bleecker Street B,New University Pen and Stationary ,Occupied,Unavailable,"Toys, Hobbies",Hobbies,"Independent local, Local Chain",$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,5315,0,0,None,1,15,5315,354.333333333333,Standard,Yes,NoHo,2,10630,10012,984417,204503,Existing,1,Manhattan,1-525-46,525,46,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
183 Sullivan Street,Landmark Real Estate,Occupied,Unavailable,Other Services,Other Services,Regional Chain,$$,North American,,,2 - Average,2 - Average,4,Average,No,50 ,Street Frontage,0,697.5,0,0,None,1,20,697.5,34.875,Standard,Yes,NoHo,2,1395,10012,984106,204628,Existing,1,Manhattan,1-525-7,525,7,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,Upgrade for Data,,
